omega_eV,Re,Im
2.63000000,5938.79260000,-2862.64340000
2.63500000,5958.70810000,-2875.83790000
2.64000000,5981.84890000,-2885.11610000
2.64500000,6003.50130000,-2894.66910000
2.65000000,6028.47440000,-2903.56670000
2.65500000,6054.72540000,-2910.81430000
2.66000000,6079.61270000,-2915.68420000
2.66500000,6098.49900000,-2921.93390000
2.67000000,6118.06540000,-2929.90390000
2.67500000,6139.87280000,-2938.28280000
2.68000000,6163.05720000,-2946.74080000
2.68500000,6185.98130000,-2955.24270000
2.69000000,6209.41660000,-2964.33180000
2.69500000,6234.50080000,-2974.34180000
2.70000000,6263.33350000,-2985.02020000
2.70500000,6296.33570000,-2995.20930000
2.71000000,6330.35930000,-3004.45840000
2.71500000,6364.48300000,-3013.36370000
2.72000000,6399.44000000,-3023.11350000
2.72500000,6438.80870000,-3033.23780000
2.73000000,6482.19190000,-3042.40130000
2.73500000,6526.97290000,-3050.95210000
2.74000000,6576.42270000,-3059.63100000
2.74500000,6631.41230000,-3065.69730000
2.75000000,6684.55760000,-3070.99460000
2.75500000,6742.90260000,-3077.52490000
2.76000000,6804.42510000,-3078.21790000
2.76500000,6875.15380000,-3084.76660000
2.77000000,6958.94920000,-3085.65750000
2.77500000,7045.19370000,-3081.26930000
2.78000000,7126.48800000,-3068.63880000
2.78500000,7207.56930000,-3059.65150000
2.79000000,7308.43340000,-3042.49290000
2.79500000,7395.56040000,-3009.05040000
2.80000000,7446.89690000,-2976.78820000
2.80500000,7495.10880000,-2950.79100000
2.81000000,7541.86140000,-2925.62620000
2.81500000,7586.97390000,-2904.52910000
2.82000000,7641.72770000,-2885.47790000
2.82500000,7706.97150000,-2863.14620000
2.83000000,7773.53410000,-2834.28310000
2.83500000,7844.87020000,-2800.06340000
2.84000000,7882.33520000,-2751.57930000
2.84500000,7907.65710000,-2717.08330000
2.85000000,7942.86150000,-2677.28590000
2.85500000,7955.42610000,-2640.43140000
2.86000000,7972.31220000,-2606.89390000
2.86500000,7990.13470000,-2573.26820000
2.87000000,8002.83880000,-2541.20550000
2.87500000,8020.60420000,-2510.71090000
2.88000000,8018.13730000,-2470.04360000
2.88500000,8008.55530000,-2441.46110000
2.89000000,7998.75890000,-2418.52850000
2.89500000,8003.76550000,-2395.48850000
2.90000000,7996.40460000,-2368.91930000
2.90500000,7979.51780000,-2347.98690000
2.91000000,7965.86240000,-2334.57860000
2.91500000,7966.77960000,-2324.66850000
2.92000000,7977.43010000,-2311.17440000
2.92500000,7984.67870000,-2297.89660000
2.93000000,7992.18040000,-2285.32920000
2.93500000,8002.58700000,-2274.88560000
2.94000000,8019.79850000,-2265.36070000
2.94500000,8046.23630000,-2255.55160000
2.95000000,8080.39570000,-2242.68270000
2.95500000,8117.37910000,-2224.72880000
2.96000000,8146.56670000,-2200.29390000
2.96500000,8159.88460000,-2176.10350000
2.97000000,8165.90220000,-2155.80980000
2.97500000,8176.62730000,-2132.17960000
2.98000000,8181.47380000,-2115.72080000
2.98500000,8187.15440000,-2095.85840000
2.99000000,8182.30890000,-2080.61250000
2.99500000,8183.01500000,-2070.28980000
3.00000000,8191.34380000,-2062.21180000
3.00500000,8207.11160000,-2054.15160000
3.01000000,8227.18790000,-2044.61470000
3.01500000,8249.56730000,-2033.64110000
3.02000000,8273.13910000,-2021.24810000
3.02500000,8298.98400000,-2008.06330000
3.03000000,8324.38050000,-1990.32430000
3.03500000,8338.30040000,-1972.58480000
3.04000000,8353.14950000,-1959.29360000
3.04500000,8377.97190000,-1947.18960000
3.05000000,8410.98870000,-1933.29920000
3.05500000,8451.10350000,-1913.76140000
3.06000000,8483.58550000,-1889.49410000
3.06500000,8508.70350000,-1864.09130000
3.07000000,8526.55870000,-1838.67820000
3.07500000,8553.29280000,-1813.43300000
3.08000000,8572.74950000,-1782.80850000
3.08500000,8584.31210000,-1755.99640000
3.09000000,8605.99070000,-1727.72570000
3.09500000,8623.78610000,-1696.13940000
3.10000000,8630.93050000,-1658.69180000
3.10500000,8613.21010000,-1622.20910000
3.11000000,8580.38210000,-1595.47650000
3.11500000,8548.26610000,-1577.85670000
3.12000000,8529.74100000,-1565.54110000
3.12500000,8523.14330000,-1554.14610000
3.13000000,8519.95320000,-1543.39790000
3.13500000,8519.67140000,-1530.33030000
3.14000000,8513.83610000,-1517.35920000
3.14500000,8511.62020000,-1510.69420000
3.15000000,8520.25140000,-1506.08200000
3.15500000,8539.73860000,-1500.54200000
3.16000000,8575.27520000,-1493.96720000
3.16500000,8618.01460000,-1479.08490000
3.17000000,8657.71710000,-1460.95400000
3.17500000,8707.80360000,-1440.48180000
3.18000000,8761.59570000,-1414.40050000
3.18500000,8810.43770000,-1380.46080000
3.19000000,8853.05950000,-1341.31640000
3.19500000,8875.05160000,-1295.25070000
3.20000000,8870.11840000,-1254.92900000
3.20500000,8867.39750000,-1221.10510000
3.21000000,8857.70740000,-1187.26350000
3.21500000,8837.92620000,-1159.81180000
3.22000000,8819.49570000,-1138.73460000
3.22500000,8812.83530000,-1122.96800000
3.23000000,8822.15870000,-1104.19570000
3.23500000,8810.50590000,-1083.20930000
3.24000000,8804.92370000,-1073.98960000
3.24500000,8816.73090000,-1066.89790000
3.25000000,8839.17400000,-1058.84710000
3.25500000,8865.27870000,-1051.96020000
3.26000000,8909.78070000,-1045.13190000
3.26500000,8965.46340000,-1032.09360000
3.27000000,9022.06320000,-1016.35110000
3.27500000,9085.59610000,-1002.35200000
3.28000000,9173.29920000,-982.09174000
3.28500000,9268.34400000,-952.09127000
3.29000000,9368.67430000,-905.15979000
3.29500000,9446.74440000,-850.17128000
3.30000000,9512.98620000,-788.80277000
3.30500000,9551.42670000,-717.76120000
3.31000000,9539.93490000,-655.76014000
3.31500000,9532.96240000,-611.68754000
3.32000000,9542.56530000,-572.10056000
3.32500000,9563.54640000,-532.03151000
3.33000000,9584.10690000,-489.52190000
3.33500000,9609.62540000,-447.17807000
3.34000000,9641.38200000,-400.55629000
3.34500000,9643.89080000,-338.51628000
3.35000000,9625.32160000,-295.35726000
3.35500000,9622.82260000,-263.43879000
3.36000000,9652.95710000,-230.34330000
3.36500000,9702.94680000,-188.19063000
3.37000000,9753.28470000,-134.87412000
3.37500000,9808.51280000,-72.55502600
3.38000000,9853.00050000,4.51369570
3.38500000,9834.01320000,95.97972500
3.39000000,9794.72490000,163.66429000
3.39500000,9762.09420000,229.43871000
3.40000000,9725.56760000,292.26483000
3.40500000,9689.49640000,357.11415000
3.41000000,9644.07350000,430.20114000
3.41500000,9555.86660000,502.35907000
3.42000000,9445.60340000,569.53617000
3.42500000,9300.42150000,622.62748000
3.43000000,9151.56890000,655.01185000
3.43500000,9010.03720000,673.86314000
3.44000000,8878.89710000,683.18345000
3.44500000,8755.81020000,685.58312000
3.45000000,8643.25090000,677.02162000
3.45500000,8547.74800000,662.05698000
3.46000000,8467.75980000,640.73090000
3.46500000,8411.82440000,615.34856000
3.47000000,8376.82050000,590.62740000
3.47500000,8352.71480000,569.48157000
3.48000000,8341.56600000,548.32414000
3.48500000,8343.82420000,525.81937000
3.49000000,8362.18780000,507.43838000
3.49500000,8390.55870000,491.86117000
3.50000000,8433.04120000,480.75872000
