omega_eV,Re,Im
1.94000000,3465.11540000,-3467.50210000
1.94500000,3522.36710000,-3461.90110000
1.95000000,3554.40110000,-3452.54320000
1.95500000,3584.11410000,-3449.30050000
1.96000000,3619.07140000,-3446.13160000
1.96500000,3654.60280000,-3438.84150000
1.97000000,3674.63990000,-3426.74110000
1.97500000,3674.68640000,-3421.76100000
1.98000000,3680.78650000,-3422.54490000
1.98500000,3694.73670000,-3424.65740000
1.99000000,3706.71420000,-3424.94780000
1.99500000,3711.79530000,-3426.90570000
2.00000000,3716.30080000,-3432.26310000
2.00500000,3722.56620000,-3439.93380000
2.01000000,3732.11090000,-3449.38730000
2.01500000,3745.39880000,-3459.97010000
2.02000000,3762.94810000,-3470.92580000
2.02500000,3781.90430000,-3480.57080000
2.03000000,3800.22280000,-3492.19660000
2.03500000,3823.49280000,-3504.62100000
2.04000000,3851.00480000,-3516.85780000
2.04500000,3882.17200000,-3528.31240000
2.05000000,3917.16620000,-3539.22350000
2.05500000,3959.75280000,-3548.97010000
2.06000000,4007.95350000,-3554.22520000
2.06500000,4055.48000000,-3555.47080000
2.07000000,4100.65730000,-3548.28010000
2.07500000,4123.85950000,-3539.85060000
2.08000000,4134.17660000,-3535.93420000
2.08500000,4147.18520000,-3537.90170000
2.09000000,4169.61910000,-3540.56990000
2.09500000,4192.86330000,-3541.18580000
2.10000000,4212.16200000,-3543.48570000
2.10500000,4238.00600000,-3547.84350000
2.11000000,4272.16240000,-3551.57660000
2.11500000,4310.75700000,-3551.88690000
2.12000000,4344.59040000,-3548.71240000
2.12500000,4372.01550000,-3544.94690000
2.13000000,4396.27120000,-3542.83190000
2.13500000,4419.18050000,-3539.76650000
2.14000000,4446.75900000,-3538.73090000
2.14500000,4476.58960000,-3534.46520000
2.15000000,4497.74700000,-3528.73080000
2.15500000,4515.63190000,-3526.20630000
2.16000000,4539.12920000,-3524.70380000
2.16500000,4567.48110000,-3521.78350000
2.17000000,4594.59930000,-3516.56460000
2.17500000,4618.13190000,-3509.55410000
2.18000000,4637.96730000,-3504.63960000
2.18500000,4662.09180000,-3498.47870000
2.19000000,4688.58190000,-3488.77640000
2.19500000,4704.44900000,-3469.41350000
2.20000000,4709.30200000,-3463.76130000
2.20500000,4740.21430000,-3448.12440000
2.21000000,4726.39590000,-3419.83540000
2.21500000,4678.89280000,-3411.20990000
2.22000000,4652.49350000,-3415.88620000
2.22500000,4638.57690000,-3424.45780000
2.23000000,4649.15380000,-3436.07750000
2.23500000,4680.99370000,-3410.55430000
2.24000000,4635.49380000,-3409.48120000
2.24500000,4618.33910000,-3420.61440000
2.25000000,4613.90340000,-3433.77410000
2.25500000,4617.77520000,-3447.24850000
2.26000000,4630.87420000,-3460.51780000
2.26500000,4651.47900000,-3472.42830000
2.27000000,4679.31650000,-3479.41910000
2.27500000,4697.93730000,-3487.93290000
2.28000000,4727.31460000,-3497.56480000
2.28500000,4764.47380000,-3502.85950000
2.29000000,4792.56600000,-3503.88490000
2.29500000,4817.08790000,-3508.31030000
2.30000000,4845.48640000,-3513.82870000
2.30500000,4879.77570000,-3519.46990000
2.31000000,4924.85010000,-3523.47890000
2.31500000,4977.66490000,-3520.49330000
2.32000000,5014.06640000,-3506.06630000
2.32500000,5024.18610000,-3495.24330000
2.33000000,5029.65180000,-3490.69330000
2.33500000,5033.61120000,-3489.02680000
2.34000000,5039.76030000,-3491.00680000
2.34500000,5050.54240000,-3494.20310000
2.35000000,5064.16210000,-3497.97860000
2.35500000,5079.67940000,-3501.64130000
2.36000000,5097.24110000,-3504.20450000
2.36500000,5112.20960000,-3507.08970000
2.37000000,5128.43790000,-3510.08840000
2.37500000,5144.63860000,-3513.91330000
2.38000000,5165.13740000,-3518.66960000
2.38500000,5188.25420000,-3522.62340000
2.39000000,5217.03840000,-3526.07680000
2.39500000,5251.59780000,-3526.71730000
2.40000000,5283.01790000,-3520.87700000
2.40500000,5292.25570000,-3513.87750000
2.41000000,5301.55140000,-3514.18520000
2.41500000,5318.09520000,-3517.60800000
2.42000000,5343.59480000,-3519.00460000
2.42500000,5368.95360000,-3520.24630000
2.43000000,5393.95550000,-3515.18000000
2.43500000,5402.66270000,-3512.86500000
2.44000000,5411.08140000,-3514.77000000
2.44500000,5419.01830000,-3519.20270000
