omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
2.03,3520.4336,-2539.6582,3800.2228,-3492.1966,9.67921263,-3.79803655,9.78532357,-4.59518825
2.035,3558.7447,-2549.717,3823.4928,-3504.621,9.69606602,-3.36304273,9.88152678,-4.21264707
2.04,3596.7326,-2558.0156,3851.0048,-3516.8578,9.7617273,-2.93697523,10.0193827,-3.79396177
2.045,3634.1552,-2565.7344,3882.172,-3528.3124,9.70815125,-2.51569277,10.01964195,-3.30141863
2.05,3676.4836,-2573.5988,3917.1662,-3539.2235,9.51732227,-2.04341328,9.83942413,-2.90798892
2.055,3730.2775,-2579.1938,3959.7528,-3548.9701,9.25754324,-1.6181412,9.63221436,-2.5576822
2.06,3799.4665,-2577.8742,4007.9535,-3554.2252,8.80139848,-1.39412614,9.25522112,-2.15533186
2.065,3875.1765,-2561.5193,4055.48,-3555.4708,8.19093196,-1.30753238,8.66799264,-1.86289922
2.07,3933.6066,-2532.4183,4100.6573,-3548.2801,7.8539961,-0.81438976,8.1736367,-1.33826984
2.075,3980.4363,-2492.0885,4123.8595,-3539.8506,6.49839904,-0.61597756,6.80498336,-1.49586324
2.08,3956.8231,-2442.6095,4134.1766,-3535.9342,6.66038968,-1.28541273,7.23947132,-1.38689427
2.085,3887.2614,-2408.6538,4147.1852,-3537.9017,6.65582879,-1.1056643,7.05910021,-1.1022781
2.09,3826.2832,-2404.9419,4169.6191,-3540.5699,6.62249666,-0.89901258,6.91284934,-1.25472782
2.095,3783.0645,-2404.9339,4192.8633,-3541.1858,6.94782387,-0.78205583,7.12418953,-1.70030557
2.1,3746.7953,-2407.6736,4212.162,-3543.4857,7.89699555,-0.27235444,8.33927985,-1.63332294
2.105,3707.7491,-2411.9221,4238.006,-3547.8435,7.95035184,0.34265821,8.59436656,-0.98344643
2.11,3665.8776,-2423.9339,4272.1624,-3551.5766,7.71692656,0.75026938,8.54069684,-0.45994832
2.115,3634.6679,-2441.1695,4310.757,-3551.8869,7.24376518,1.35017113,8.27202462,0.47488961
2.12,3613.3841,-2460.9537,4344.5904,-3548.7124,5.45166758,1.82062901,6.49390202,1.53015939
2.125,3600.6657,-2482.2807,4372.0155,-3544.9469,3.4431199,1.63857926,4.4156521,1.99521874
2.13,3597.7966,-2505.6242,4396.2712,-3542.8319,2.259758,1.07702098,2.7902982,1.86388222
2.135,3598.4306,-2523.2446,4419.1805,-3539.7665,1.81474074,0.57453805,2.27454726,1.16358031
2.14,3609.2824,-2543.9484,4446.759,-3538.7309,2.48606919,0.31631307,2.82202421,0.69655069
2.145,3624.4452,-2559.0517,4476.5896,-3534.4652,3.50116222,0.37879774,3.74566438,0.26458792
2.15,3634.6274,-2572.5366,4497.747,-3528.7308,4.05387937,0.79251271,4.49803323,0.39315007
2.155,3636.4986,-2586.4551,4515.6319,-3526.2063,4.23835342,1.11743564,4.77969238,0.7980345
2.16,3639.6652,-2603.0552,4539.1292,-3524.7038,3.83831072,1.44094786,4.46689268,1.22243554
2.165,3642.0437,-2619.4834,4567.4811,-3521.7835,2.96687367,1.47151627,3.71531753,1.46596653
2.17,3646.8436,-2637.9813,4594.5993,-3516.5646,2.91778188,0.95595882,3.65219292,1.32188498
2.175,3653.685,-2658.0093,4618.1319,-3509.5541,4.310392,0.73250444,4.9768796,1.23446418
2.18,3665.0112,-2678.7002,4637.9673,-3504.6396,6.15400168,1.20035783,6.76033992,1.68490517
2.185,3681.4227,-2698.5826,4662.0918,-3498.4787,7.38975431,1.85690612,8.00029709,2.33394788
2.19,3700.3289,-2716.9577,4688.5819,-3488.7764,7.42930552,3.04120404,8.11127848,3.46068016
2.195,3721.1696,-2734.5703,4704.449,-3469.4135,5.93544587,3.65869656,6.78032513,4.72114464
2.2,3742.193,-2749.7485,4709.302,-3463.7613,4.31599573,3.4439234,5.06173287,5.4514836
2.205,3762.1393,-2763.0532,4740.2143,-3448.1244,4.59841958,3.0598374,5.28555942,6.5849544
2.21,3773.5491,-2774.0151,4726.3959,-3419.8354,4.98467613,4.5028342,4.30167807,7.9265654
2.215,3776.9364,-2787.4458,4678.8928,-3411.2099,1.35699162,6.3211748,0.16697338,7.5790364
2.22,3780.0098,-2804.497,4652.4935,-3415.8862,-1.72597619,6.07869939,-2.65774301,7.44503501
2.225,3784.9358,-2824.0113,4638.5769,-3424.4578,-1.98411579,5.91568577,-2.91751841,5.50739823
2.23,3797.444,-2845.2207,4649.1538,-3436.0775,-1.80176842,5.78597012,-2.65034978,4.71236108
2.235,3817.1099,-2866.1915,4680.9937,-3410.5543,-1.71464558,6.55569955,-2.49593902,4.95163425
