omega_eV,Re,Im
2.04000000,3596.73260000,-2558.01560000
2.04500000,3634.15520000,-2565.73440000
2.05000000,3676.48360000,-2573.59880000
2.05500000,3730.27750000,-2579.19380000
2.06000000,3799.46650000,-2577.87420000
2.06500000,3875.17650000,-2561.51930000
2.07000000,3933.60660000,-2532.41830000
2.07500000,3980.43630000,-2492.08850000
2.08000000,3956.82310000,-2442.60950000
2.08500000,3887.26140000,-2408.65380000
2.09000000,3826.28320000,-2404.94190000
2.09500000,3783.06450000,-2404.93390000
2.10000000,3746.79530000,-2407.67360000
2.10500000,3707.74910000,-2411.92210000
2.11000000,3665.87760000,-2423.93390000
2.11500000,3634.66790000,-2441.16950000
2.12000000,3613.38410000,-2460.95370000
2.12500000,3600.66570000,-2482.28070000
2.13000000,3597.79660000,-2505.62420000
2.13500000,3598.43060000,-2523.24460000
2.14000000,3609.28240000,-2543.94840000
2.14500000,3624.44520000,-2559.05170000
2.15000000,3634.62740000,-2572.53660000
2.15500000,3636.49860000,-2586.45510000
2.16000000,3639.66520000,-2603.05520000
2.16500000,3642.04370000,-2619.48340000
2.17000000,3646.84360000,-2637.98130000
2.17500000,3653.68500000,-2658.00930000
2.18000000,3665.01120000,-2678.70020000
2.18500000,3681.42270000,-2698.58260000
2.19000000,3700.32890000,-2716.95770000
2.19500000,3721.16960000,-2734.57030000
2.20000000,3742.19300000,-2749.74850000
2.20500000,3762.13930000,-2763.05320000
2.21000000,3773.54910000,-2774.01510000
2.21500000,3776.93640000,-2787.44580000
2.22000000,3780.00980000,-2804.49700000
2.22500000,3784.93580000,-2824.01130000
2.23000000,3797.44400000,-2845.22070000
2.23500000,3817.10990000,-2866.19150000
2.24000000,3841.76240000,-2885.59680000
2.24500000,3871.44280000,-2899.97540000
2.25000000,3886.86120000,-2914.05790000
2.25500000,3904.68870000,-2929.83470000
2.26000000,3922.50130000,-2946.53320000
2.26500000,3941.40600000,-2958.48700000
2.27000000,3951.68070000,-2973.63800000
2.27500000,3962.95280000,-2994.07500000
2.28000000,3984.59950000,-3017.17570000
2.28500000,4017.03740000,-3039.59490000
2.29000000,4053.78780000,-3059.25530000
2.29500000,4092.19380000,-3078.40230000
2.30000000,4137.22280000,-3096.69150000
2.30500000,4186.60660000,-3109.20100000
2.31000000,4233.39430000,-3118.62260000
2.31500000,4270.79330000,-3124.71640000
2.32000000,4308.21460000,-3133.18210000
2.32500000,4341.72860000,-3139.59040000
2.33000000,4365.32060000,-3147.27470000
2.33500000,4390.61290000,-3158.70800000
2.34000000,4419.55160000,-3171.53400000
2.34500000,4454.45220000,-3179.81820000
2.35000000,4488.24120000,-3193.52340000
2.35500000,4531.53120000,-3203.62550000
2.36000000,4570.30400000,-3207.96070000
