omega_eV,Re,Im
2.30500000,4865.25920000,-3497.14610000
2.31000000,4899.73710000,-3505.38910000
2.31500000,4944.17980000,-3512.35140000
2.32000000,5016.09200000,-3509.70040000
2.32500000,5034.34450000,-3487.53490000
2.33000000,5044.88100000,-3483.46690000
2.33500000,5060.18290000,-3483.21630000
2.34000000,5080.09170000,-3483.98250000
2.34500000,5101.01930000,-3483.46490000
2.35000000,5122.06700000,-3482.24340000
2.35500000,5139.93640000,-3480.96500000
2.36000000,5158.86270000,-3481.06650000
2.36500000,5179.37490000,-3481.63440000
2.37000000,5201.71270000,-3480.45720000
2.37500000,5226.73350000,-3479.80060000
2.38000000,5255.32480000,-3476.71420000
2.38500000,5282.53990000,-3468.93340000
2.39000000,5286.89470000,-3460.82990000
2.39500000,5289.46050000,-3460.54330000
2.40000000,5302.06930000,-3463.90690000
2.40500000,5324.18630000,-3465.92030000
2.41000000,5354.78290000,-3464.55280000
2.41500000,5373.06660000,-3458.37260000
2.42000000,5386.21320000,-3455.33120000
2.42500000,5396.47260000,-3454.06450000
2.43000000,5403.25740000,-3454.59280000
2.43500000,5407.36210000,-3453.94550000
2.44000000,5411.52150000,-3464.79340000
2.44500000,5424.88490000,-3475.85900000
2.45000000,5445.24900000,-3488.04170000
2.45500000,5474.36250000,-3500.84060000
2.46000000,5510.63830000,-3511.96560000
2.46500000,5549.69650000,-3522.48880000
2.47000000,5595.48240000,-3531.55820000
2.47500000,5642.79420000,-3542.80560000
2.48000000,5705.14170000,-3554.05850000
2.48500000,5781.80150000,-3561.88800000
2.49000000,5867.67480000,-3565.08020000
2.49500000,5963.54930000,-3563.79270000
2.50000000,6070.26250000,-3545.69840000
2.50500000,6156.78740000,-3527.99470000
2.51000000,6248.55970000,-3501.18420000
2.51500000,6328.63730000,-3469.64300000
2.52000000,6396.59290000,-3432.18170000
2.52500000,6450.78440000,-3389.97980000
2.53000000,6480.72790000,-3346.35850000
2.53500000,6496.40900000,-3308.71480000
2.54000000,6510.57790000,-3274.39210000
2.54500000,6514.45670000,-3241.55220000
2.55000000,6517.04350000,-3214.66360000
2.55500000,6523.18020000,-3190.78420000
2.56000000,6539.46580000,-3168.31840000
2.56500000,6546.08310000,-3131.14510000
2.57000000,6534.76300000,-3104.94030000
2.57500000,6517.27580000,-3083.73860000
2.58000000,6498.98100000,-3067.75080000
2.58500000,6489.07740000,-3057.28180000
2.59000000,6491.13830000,-3047.56180000
2.59500000,6497.32970000,-3035.74380000
2.60000000,6501.12270000,-3023.80210000
2.60500000,6510.96080000,-3012.66960000
2.61000000,6522.46460000,-2999.70510000
2.61500000,6528.36420000,-2984.36810000
2.62000000,6532.81710000,-2969.06250000
2.62500000,6525.14430000,-2953.79770000
2.63000000,6518.56580000,-2942.22890000
2.63500000,6509.68540000,-2933.49030000
2.64000000,6497.16360000,-2923.22960000
2.64500000,6488.34910000,-2919.22490000
2.65000000,6483.76020000,-2918.38550000
2.65500000,6487.58310000,-2918.96130000
2.66000000,6498.08310000,-2919.81320000
2.66500000,6515.66330000,-2914.94280000
2.67000000,6527.99560000,-2913.79640000
2.67500000,6549.71850000,-2914.16830000
2.68000000,6581.67670000,-2912.14150000
2.68500000,6613.04500000,-2907.44990000
2.69000000,6647.51550000,-2900.69270000
2.69500000,6684.11140000,-2893.55780000
2.70000000,6728.06050000,-2882.06860000
2.70500000,6760.90530000,-2860.47140000
2.71000000,6772.83520000,-2845.44640000
2.71500000,6792.20890000,-2833.56230000
2.72000000,6818.99310000,-2820.31990000
2.72500000,6849.22940000,-2800.17790000
2.73000000,6857.34080000,-2776.17180000
2.73500000,6855.65490000,-2756.98170000
2.74000000,6852.94370000,-2738.22260000
2.74500000,6837.81730000,-2720.04550000
2.75000000,6814.20340000,-2707.92420000
2.75500000,6791.71220000,-2700.96340000
2.76000000,6770.41350000,-2696.99660000
