case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_b_Tension_0.5pct,b,0.5,-0.12410443799999982,-0.1282062518749999,0.0,-64.49386943338712,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.12022581399999982,-0.1282062518749999,0.0,-49.673293853237375,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.11634718999999982,-0.1282062518749999,0.0,-30.27879876624307,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.11246856599999983,-0.1282062518749999,0.0,-16.615060787660763,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10858994199999983,-0.1282062518749999,0.0,-9.851690166978068,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10471131799999983,-0.1282062518749999,0.0,-7.022094381569799,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10083269399999983,-0.1282062518749999,0.0,-5.944893789764673,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.09695406999999984,-0.1282062518749999,0.0,-5.582686570659428,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.09307544599999984,-0.1282062518749999,0.0,-5.470604047987883,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08919682199999984,-0.1282062518749999,0.0,-5.388378346984596,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08531819799999985,-0.1282062518749999,0.0,-5.232126711245444,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08143957399999985,-0.1282062518749999,0.0,-4.966333448004999,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.07756094999999985,-0.1282062518749999,0.0,-4.5989283206509946,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.07368232599999985,-0.1282062518749999,0.0,-4.161125435449983,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06980370199999986,-0.1282062518749999,0.0,-3.690451969515676,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06592507799999986,-0.1282062518749999,0.0,-3.2193871517288515,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06204645399999986,-0.1282062518749999,0.0,-2.7703456564255173,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.058167829999999865,-0.1282062518749999,0.0,-2.3554562929460054,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.05428920599999987,-0.1282062518749999,0.0,-1.9787946096360018,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.05041058199999987,-0.1282062518749999,0.0,-1.6392124872629878,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.04653195799999987,-0.1282062518749999,0.0,-1.332778811025845,56,fixed_k3
