case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_a_Tension_0.5pct,a,0.5,-0.1434975579999998,-0.1282062518749999,0.0,-21.739012958358085,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1396189339999998,-0.1282062518749999,0.0,-28.804419850143546,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1357403099999998,-0.1282062518749999,0.0,-42.66862327668824,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1318616859999998,-0.1282062518749999,0.0,-62.94379588560136,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12798306199999981,-0.1282062518749999,0.0,-72.03824468631502,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12410443799999982,-0.1282062518749999,0.0,-50.377352860121725,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12022581399999982,-0.1282062518749999,0.0,-21.34784624150314,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.11634718999999982,-0.1282062518749999,0.0,-8.013795764649968,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.11246856599999983,-0.1282062518749999,0.0,-4.232436181829014,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10858994199999983,-0.1282062518749999,0.0,-3.373224684528502,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10471131799999983,-0.1282062518749999,0.0,-3.3681931597116477,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10083269399999983,-0.1282062518749999,0.0,-3.6425140572105077,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.09695406999999984,-0.1282062518749999,0.0,-3.988575308782711,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.09307544599999984,-0.1282062518749999,0.0,-4.294834736796964,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08919682199999984,-0.1282062518749999,0.0,-4.488118027443077,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08531819799999985,-0.1282062518749999,0.0,-4.528509600624007,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08143957399999985,-0.1282062518749999,0.0,-4.41120870199103,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.07756094999999985,-0.1282062518749999,0.0,-4.161006216570348,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.07368232599999985,-0.1282062518749999,0.0,-3.8192950548314006,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.06980370199999986,-0.1282062518749999,0.0,-3.4297874430796185,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.06592507799999986,-0.1282062518749999,0.0,-3.02851810005825,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.06204645399999986,-0.1282062518749999,0.0,-2.639853801730917,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.058167829999999865,-0.1282062518749999,0.0,-2.277075752093668,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.05428920599999987,-0.1282062518749999,0.0,-1.9451374737395426,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.05041058199999987,-0.1282062518749999,0.0,-1.643753687003747,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.04653195799999987,-0.1282062518749999,0.0,-1.3699127151167652,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.042653333999999876,-0.1282062518749999,0.0,-1.119595660376401,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.03877470999999988,-0.1282062518749999,0.0,-0.8888178760111534,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.03489608599999988,-0.1282062518749999,0.0,-0.6741955178431014,56,fixed_k3
