state,lambda_nm,theta_deg,r_pp_real,r_pp_imag,abs_r_pp,arg_r_pp_deg,r_ss_real,r_ss_imag,abs_r_ss,arg_r_ss_deg,r_ps_real,r_ps_imag,abs_r_ps,arg_r_ps_deg,r_sp_real,r_sp_imag,abs_r_sp,arg_r_sp_deg
0%,696.4,70.5,-0.0038090857662935376,-0.09966364946812334,0.09973641340894478,-92.18874552014631,-0.7774268394912106,0.09411929761503304,0.7831033986293506,173.09707187696685,0.0002299725569080381,0.0009070784140930186,0.0009357770173734374,75.77350103905763,0.00027490419673463723,0.0008121285666590772,0.0008573943819305345,71.29912378141383
0%,697.3499999999999,70.5,-0.004202293019304518,-0.09898843020798563,0.09907758869523085,-92.43088176014741,-0.7772171638331651,0.09388699162525029,0.7828673495256452,173.11210608835967,0.0002368024535286829,0.0009018194008530853,0.0009323913522508785,75.28724662215942,0.00027225103625870973,0.0008128388239529862,0.0008572208469637302,71.48231747024676
0%,698.3,70.5,-0.004566245712467966,-0.09831138759890547,0.09841737413449343,-92.65929228774971,-0.7770101586354291,0.09365347308314328,0.7826338605268685,173.12726089436632,0.00024435314199330513,0.0008981877402738085,0.0009308327856173582,74.78093655234763,0.00026893254723983254,0.0008180025924003477,0.0008610766261713264,71.8008230572828
0%,699.25,70.5,-0.00496393265018816,-0.0976717225723365,0.0977977812509214,-92.90941829136787,-0.7767995447744005,0.0934057816373131,0.7823951513174102,173.14342366500736,0.000250584336062689,0.0008977421223587819,0.0009320587040188128,74.40413082589113,0.0002679179185579161,0.0008265771792169695,0.0008689130245811076,72.04096915318136
0%,700.2,70.5,-0.005378197740102127,-0.09704685098481822,0.09719576275229878,-93.17200553709593,-0.7765898675491528,0.09314607000355607,0.7821560028134528,173.160478726718,0.0002572125185564335,0.0008987763178481514,0.0009348567533193655,74.02989557020763,0.00026918302018130686,0.0008383464959432434,0.0008805023257290377,72.19879761824473
0%,701.15,70.5,-0.0057989738261706465,-0.0963883112395032,0.09656259441957818,-93.44291457634763,-0.7763873355621215,0.09287776259546252,0.7819229972356545,173.1782318155031,0.0002652304479861361,0.0009025921155945398,0.0009407548658775854,73.62435538489825,0.0002742233320743499,0.0008479503538942584,0.000891189227113612,72.07902587884519
0%,702.0999999999999,70.5,-0.006217297518514831,-0.09570718657209532,0.0959089169471723,-93.71680637330908,-0.7761951431929973,0.0925954239260165,0.7816986713871504,173.19710647152385,0.0002751637132684325,0.00090890262139201,0.0009496415346186895,73.1566903707093,0.0002830137710163812,0.000857600093517995,0.0009030917533600816,71.73676422338421
0%,703.05,70.5,-0.006569869823493809,-0.09501899282965752,0.09524585128949271,-93.9552899391501,-0.7760206618908339,0.09228563121916955,0.7814887749744128,173.2181440828785,0.000284433456912976,0.0009154352814792814,0.0009586053129356821,72.73954001795448,0.0002911237979943732,0.0008660904516654238,0.0009137098753021587,71.42067273085718
0%,704.0,70.5,-0.006881625922917538,-0.09432644385349132,0.09457713669481023,-94.17264553717308,-0.7758773832323076,0.09193802274417877,0.7813055188833126,173.24221624690486,0.0002933049877489859,0.0009223395006997376,0.0009678522461561342,72.35927808129193,0.0002990223117541043,0.0008736931522620549,0.000923446840503759,71.10644027147241
0%,704.95,70.5,-0.007213852316725457,-0.09365774594939803,0.0939351533855644,-94.40442827659477,-0.775767721302888,0.09157521034118966,0.7811540031034266,173.26769629695605,0.00030204928114334264,0.0009260489170444062,0.000974063840309416,71.93523270061945,0.00030556493304239007,0.0008815283452192637,0.0009329856117487631,70.88210489102484
0%,705.9,70.5,-0.007566748052514917,-0.0930122648761137,0.0933195429343424,-94.65089295882625,-0.7757024467792712,0.09118517875348439,0.7810435472901963,173.2955495930271,0.0003099515288507028,0.0009283814664538332,0.0009787553818456673,71.53778108273153,0.00031080778551077824,0.0008896709834567515,0.0009423990334985585,70.74306800937275
0%,706.8499999999999,70.5,-0.007973957288581116,-0.09235356983513601,0.09269717285944302,-94.93477228300726,-0.7756671716456462,0.09078258904272112,0.7809616121436802,173.32458173910496,0.0003184303232362941,0.0009320601642220348,0.0009849538164228703,71.13770968684814,0.0003179198190818462,0.0008966260301272554,0.000951320791987012,70.47684288711562
0%,707.8,70.5,-0.00846395650462797,-0.0916851227949662,0.09207497109225864,-95.27433862763328,-0.77566496071137,0.09035984244294923,0.7809103869213713,173.35536973274554,0.00032576685402430745,0.0009413310443332593,0.0009961065094689619,70.91077530050066,0.0003271407045040288,0.0009027315556578414,0.0009601798280133876,70.08000039099291
0%,708.75,70.5,-0.008943535784395282,-0.0909773181617434,0.09141585886611713,-95.61442885339024,-0.7757050176213262,0.0899441640735896,0.7809021878659316,173.3860037956069,0.00033605299879816883,0.000948750452130806,0.0010065083399652737,70.49555463287406,0.0003373085599597169,0.0009098758245872717,0.0009703870778150674,69.6592828509239
0%,709.7,70.5,-0.009433910033311206,-0.0902254437026,0.09071730457772459,-95.96911740683251,-0.7758031690576512,0.08952163518468471,0.7809511382193091,173.4176264344294,0.0003509969957261344,0.0009553190539600217,0.001017759001860383,69.82599284667565,0.0003487249890816256,0.0009198935719278232,0.0009837750259506027,69.2386449588472
0%,710.65,70.5,-0.009776781831761248,-0.08941419833299394,0.0899471196121245,-96.24008047858796,-0.7758773745605256,0.08915707679345107,0.7809831526334531,173.44481952139262,0.0003639906012210274,0.0009599808301898014,0.00102667051779485,69.23505353596823,0.00036056800898910527,0.0009265464039850949,0.0009942321297584777,68.73636743642365
0%,711.5999999999999,70.5,-0.010003762896914218,-0.08853953129695671,0.08910288364796314,-96.446305602388,-0.7759216584061401,0.08886549117101342,0.7809939151522246,173.46644204573138,0.0003760099421518342,0.0009603792002225288,0.0010313639923989445,68.61854544058738,0.00037489890947208865,0.0009276259362694391,0.001000519400093329,67.99396278505404
0%,712.55,70.5,-0.01018751064091671,-0.08765618514710993,0.08824620200101083,-96.6292454646974,-0.7759127644019098,0.08861514091799931,0.7809566320620694,173.484615744549,0.0003832612902792662,0.0009591893485274517,0.0010329246937483127,68.21993551673211,0.0003836978578365667,0.0009268050320482032,0.0010030910295373203,67.51041473485881
0%,713.5,70.5,-0.010308120294731963,-0.08680299945126874,0.08741291699598878,-96.77233187208546,-0.7758150043502038,0.08839243696188014,0.7808342614710031,173.50003772798328,0.0003697776229857556,0.0009527887708846846,0.0010220283422610861,68.78875142272082,0.00037229921516192016,0.0009208330947675609,0.0009932473478592256,67.9861744102756
0%,714.45,70.5,-0.010383957931301863,-0.0859476127428606,0.08657262106760878,-96.88893164969859,-0.7756945700698371,0.08815184501473369,0.7806873982685586,173.5165810368968,0.00035202426299627205,0.0009471360824229707,0.0010104394293403245,69.61129323412872,0.0003574466562170123,0.0009149975707225886,0.0009823383665870744,68.66174283789658
0%,715.4,70.5,-0.010335789076877754,-0.08503598116901748,0.08566181546768199,-96.93008300971739,-0.775625694631272,0.08781882431866533,0.7805814269356885,173.54029804479663,0.00034926852384998646,0.0009577549313905141,0.0010194523090145988,69.9643914564786,0.0003571926696340136,0.000921323074418976,0.0009881410884570623,68.80891977042181
0%,716.3499999999999,70.5,-0.010095548372953563,-0.08408489261456448,0.08468877884911014,-96.84637470969284,-0.7756233735331102,0.08739441986446556,0.7805314869973722,173.5712349683402,0.00034567878708477694,0.0009792351348199228,0.00103845812294295,70.55651118201756,0.0003583847796479803,0.0009353041215367018,0.0010016154202321732,69.03443670675424
