state,lambda_nm,scenario,theta_deg,abs_r_pp,arg_r_pp_deg,abs_r_ss,arg_r_ss_deg,abs_r_ps,arg_r_ps_deg,abs_r_sp,arg_r_sp_deg
a +0.5%,408.55,replace_yy,70.5,0.2722014258501646,-14.838467182565337,0.847670307323716,177.99401827068596,0.0006924560565324003,60.615319083814754,0.0006776174483251464,59.867958368690495
a +0.5%,408.55,nonlinear_residual,70.5,3.6260623204344665e-08,42.12059223534449,,,,,,
a +0.5%,408.55,nonlinear_residual,70.5,,,5.982261738984074e-09,-155.48975443751814,,,,
a +0.5%,408.55,nonlinear_residual,70.5,,,,,1.3967356870399531e-06,164.9830076387625,,
a +0.5%,408.55,nonlinear_residual,70.5,,,,,,,1.0370625411576762e-06,-133.42582308900774
a +0.5%,409.5,baseline,70.5,0.27140508901118493,-15.066866615868847,0.8503791652187092,178.0526615393188,0.0007379811643884739,57.55566957000792,0.0006995280165109326,54.84745602461177
a +0.5%,409.5,full,70.5,0.2731896169734196,-13.97777790846606,0.8480278134217313,178.01655180344616,0.0006990600034289324,62.49101937591201,0.0006524938524214646,56.70501697634382
a +0.5%,409.5,replace_xx,70.5,0.2731897810127629,-13.977661904232313,0.8503791700487338,178.0526614201209,0.0007345625784092231,57.22527536692771,0.000696287558915624,54.517061821531556
a +0.5%,409.5,replace_xy,70.5,0.27140510062425066,-15.066927662734717,0.8503791596178792,178.0526575359445,0.0007379812545127253,57.555690816296995,0.0006453501664745954,57.03603636934332
a +0.5%,409.5,replace_yx,70.5,0.27140493060475773,-15.066936802395832,0.8503791236776759,178.05265725569842,0.0006914066608516539,62.822037294494784,0.0006995282665187267,54.84747579648408
a +0.5%,409.5,replace_yy,70.5,0.2714050652148845,-15.066856554312928,0.8480278518517124,178.01656020295636,0.000749622496193431,57.55502511767549,0.0007105627666374014,54.84681157227932
a +0.5%,409.5,nonlinear_residual,70.5,2.4712687924835362e-08,31.167688368764644,,,,,,
a +0.5%,409.5,nonlinear_residual,70.5,,,3.832226714816637e-09,-174.93091142698046,,,,
a +0.5%,409.5,nonlinear_residual,70.5,,,,,9.520460370279348e-07,161.5673153364922,,
a +0.5%,409.5,nonlinear_residual,70.5,,,,,,,7.352900253015397e-07,-171.08337998563871
a +0.5%,410.45,baseline,70.5,0.2706956977688962,-15.247369023017425,0.8503062830373439,178.04782158583913,0.0007988237867863981,52.62666838893023,0.0007682482320895802,51.3740213899432
a +0.5%,410.45,full,70.5,0.2729104579527639,-14.181060095783687,0.848350350328646,178.02662701077438,0.0007676006677400856,55.69405022615802,0.0007271685084723077,52.87528711948836
a +0.5%,410.45,replace_xx,70.5,0.27291066301633465,-14.180963204453114,0.8503062881720505,178.04782135758293,0.0007947170221890387,52.317727168522964,0.0007642986568594513,51.06508016953594
a +0.5%,410.45,replace_xy,70.5,0.2706956590167678,-15.247426505138257,0.8503062674522853,178.0478179243261,0.000798823929341505,52.62668693251803,0.0007216002688240096,53.232210521773
a +0.5%,410.45,replace_yx,70.5,0.27069554160309706,-15.247423049142181,0.8503062439471324,178.0478183724929,0.0007617229285302572,56.050969238600324,0.0007682484768424388,51.37403554368867
a +0.5%,410.45,replace_yy,70.5,0.27069568469232863,-15.247358378351754,0.8483503976335833,178.02663413680216,0.0008091475217729565,52.57867226067834,0.0007781768186980128,51.32602526169132
a +0.5%,410.45,nonlinear_residual,70.5,1.615184880454179e-08,29.073744461368907,,,,,,
a +0.5%,410.45,nonlinear_residual,70.5,,,2.198038941745308e-09,175.98098762496073,,,,
a +0.5%,410.45,nonlinear_residual,70.5,,,,,5.43915133032282e-07,149.7331981122899,,
a +0.5%,410.45,nonlinear_residual,70.5,,,,,,,5.037420370033615e-07,173.7551597413687
a +0.5%,411.4,baseline,70.5,0.27044976136852256,-15.377616251773178,0.8503718002777885,178.04851783566863,0.0008543955878128162,47.250743458857315,0.000851040094321956,46.82597180472778
a +0.5%,411.4,full,70.5,0.2728397566735606,-14.394946032121371,0.8486152179497963,178.03069175066778,0.0008112527425562854,48.411344168063096,0.000815557446703658,49.34435238680273
a +0.5%,411.4,replace_xx,70.5,0.27284001954458775,-14.394846022377196,0.8503718049769415,178.04851749497644,0.0008499578149071912,46.976834346636544,0.0008466197500153443,46.55206269250701
a +0.5%,411.4,replace_xy,70.5,0.27044957382687135,-15.37767203038953,0.8503717544625312,178.04851458409397,0.0008543958974810747,47.250757265701424,0.0008104263350278557,49.66786905550238
a +0.5%,411.4,replace_yx,70.5,0.27044968652190626,-15.377676487492687,0.8503717768263064,178.0485140762926,0.0008061486079897365,48.73486545691786,0.0008510402907595805,46.82599023172699
a +0.5%,411.4,replace_yy,70.5,0.2704497573109495,-15.37760457749803,0.8486152804577455,178.03069911288313,0.0008642940901500717,47.201117707577744,0.0008608997219732514,46.776346053448215
a +0.5%,411.4,nonlinear_residual,70.5,1.669567869493982e-08,29.73829750314263,,,,,,
a +0.5%,411.4,nonlinear_residual,70.5,,,2.0276451832828687e-09,-179.4573259542675,,,,
a +0.5%,411.4,nonlinear_residual,70.5,,,,,4.3789167958190053e-07,170.93597968678304,,
a +0.5%,411.4,nonlinear_residual,70.5,,,,,,,4.5602287797092103e-07,148.12539050759
a +0.5%,412.35,baseline,70.5,0.27053166079552565,-15.528067853641682,0.850517873463369,178.0467374891302,0.0009025936342733597,43.01230147625557,0.0008807886114569113,40.95931103441839
a +0.5%,412.35,full,70.5,0.27219817877637703,-14.695079085505032,0.8487575628039056,178.028367010423,0.0008683803576439094,45.93248009992332,0.0008352939795096371,41.30261149785535
a +0.5%,412.35,replace_xx,70.5,0.27219851181375293,-14.694981396724186,0.8505178771527943,178.04673715596235,0.0008990121766501261,42.772145656289986,0.0008772936753448268,40.719155214452805
a +0.5%,412.35,replace_xy,70.5,0.2705315991868574,-15.528132444864543,0.8505178519494181,178.04673343027827,0.0009025938376306471,43.012321705350786,0.0008289794557688864,41.59007225509366
a +0.5%,412.35,replace_yx,70.5,0.2705313767215782,-15.528117804075102,0.8505178087115225,178.04673481907614,0.0008618159245586411,46.219929700552356,0.0008807890264059629,40.95932010690433
a +0.5%,412.35,replace_yy,70.5,0.27053166666329564,-15.528055061054415,0.8487576432155945,178.02837407998172,0.000913091598447542,42.964987667928085,0.0008910329638841768,40.9119972260909
a +0.5%,412.35,nonlinear_residual,70.5,1.7803698206965716e-08,24.8614148786139,,,,,,
a +0.5%,412.35,nonlinear_residual,70.5,,,2.135195050548015e-09,-178.41253796788598,,,,
a +0.5%,412.35,nonlinear_residual,70.5,,,,,5.523574008302998e-07,145.71861395407905,,
a +0.5%,412.35,nonlinear_residual,70.5,,,,,,,4.886812010236864e-07,-175.6926382240899
a +0.5%,413.3,baseline,70.5,0.2703966474681908,-15.726641986935435,0.8505971336576111,178.0423858267,0.0008542457243330367,39.585942520799186,0.0008591886276221025,39.784124856181755
a +0.5%,413.3,full,70.5,0.2711882840260644,-14.954663327791343,0.8488168706781251,178.02417163008025,0.0008762174140940641,39.736190751416544,0.0008555877349913028,41.28696495385487
a +0.5%,413.3,replace_xx,70.5,0.2711884591645839,-14.954682587168568,0.8505971370030708,178.04238558013512,0.0008519013258949525,39.344612374710245,0.000856830663842782,39.542794710092814
