omega_eV,Re,Im
2.62500000,1.00304570,4.50693610
2.63000000,-1.65019530,4.45376880
2.63500000,-2.77372410,4.48316900
2.64000000,-3.89223140,4.34520440
2.64500000,-4.46155280,4.65897920
2.65000000,-6.17807230,4.62370050
2.65500000,-7.51929910,4.54817510
2.66000000,-9.32186090,4.48679850
2.66500000,-11.02415100,3.88755820
2.67000000,-11.76557200,3.22539390
2.67500000,-12.32184400,2.77055290
2.68000000,-12.48187600,2.10042510
2.68500000,-12.27593700,1.55399530
2.69000000,-11.91321900,1.13953220
2.69500000,-11.53025300,0.84521548
2.70000000,-10.90304700,0.49830844
2.70500000,-10.02295900,0.63335480
2.71000000,-10.39054900,0.76416010
2.71500000,-9.61677080,0.47869894
2.72000000,-8.64151150,0.56678270
2.72500000,-8.06235070,1.05624540
2.73000000,-8.16552400,1.44263360
2.73500000,-8.53900400,1.76719960
2.74000000,-9.24592630,2.00517820
2.74500000,-10.19240500,2.35418090
2.75000000,-12.04981600,2.18613430
2.75500000,-13.07427800,1.83784940
2.76000000,-13.62959200,1.46945190
2.76500000,-14.69213100,0.95404205
2.77000000,-14.92508200,0.31015148
2.77500000,-14.81730600,0.10522147
2.78000000,-16.17760300,-0.16897783
2.78500000,-17.46908200,-1.09007100
2.79000000,-16.51497100,-2.27958110
2.79500000,-15.80586500,-2.98884600
2.80000000,-14.11607500,-3.44637650
2.80500000,-14.63502600,-3.09882510
2.81000000,-14.77584000,-4.27576110
2.81500000,-12.35417200,-4.83698820
2.82000000,-10.76603100,-4.66232290
2.82500000,-10.04952400,-4.48364670
2.83000000,-9.74102890,-4.29208590
2.83500000,-9.59313770,-4.18714170
2.84000000,-9.31088850,-4.21822810
2.84500000,-8.16191400,-4.15044080
2.85000000,-7.50704690,-3.87202490
2.85500000,-6.54918780,-2.95744280
2.86000000,-8.28918960,-2.53236410
2.86500000,-10.03613100,-2.42997440
2.87000000,-10.77765900,-2.83126350
2.87500000,-10.22555300,-2.49498990
2.88000000,-11.98910700,-2.30749220
2.88500000,-12.85970900,-2.60597270
2.89000000,-13.26149400,-2.91124320
2.89500000,-13.46634600,-3.15886110
2.90000000,-13.39544000,-3.30799510
2.90500000,-13.24849900,-3.00731250
2.91000000,-15.18215400,-2.66774740
2.91500000,-17.29049200,-2.93037810
2.92000000,-18.97862400,-3.37788290
2.92500000,-21.34462300,-4.06977510
2.93000000,-22.30663200,-5.58630890
2.93500000,-21.55297400,-6.77563360
2.94000000,-20.26411600,-8.06432450
2.94500000,-16.99110400,-8.74459120
2.95000000,-14.63297200,-8.51330370
2.95500000,-13.07810700,-8.10185120
2.96000000,-11.00609000,-7.55353230
2.96500000,-11.43517600,-5.84369670
2.97000000,-15.83282500,-6.35462260
2.97500000,-15.26447300,-7.40570200
2.98000000,-14.37321400,-7.26053310
2.98500000,-14.60361100,-7.02695260
2.99000000,-16.31036100,-6.98744920
2.99500000,-17.99785000,-7.79791140
3.00000000,-18.01422000,-9.41287880
3.00500000,-14.70872600,-10.53150000
