omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
2.83,7815.7539,-2810.4813,6866.1611,-2726.4819,-48.36968872,-9.34383943,-48.01896328,-10.70055657
2.835,7861.2845,-2781.3178,6876.6274,-2721.5179,-46.15817439,-10.81110788,-45.44258361,-11.44629412
2.84,7915.5226,-2754.7018,6890.5518,-2718.6895,-43.62864726,-11.34015126,-43.26682874,-11.79438474
2.845,7990.7726,-2713.2329,6911.04,-2717.5048,-43.05285474,-10.938525,-42.15495726,-13.538289
2.85,8017.655,-2665.795,6937.4654,-2715.6926,-43.120804,-12.09654917,-41.043092,-13.29702883
2.855,8044.7573,-2625.3263,6968.1026,-2712.0354,-43.7202998,-14.26479967,-41.5909522,-13.40963833
2.86,8073.8032,-2578.0203,7001.9644,-2706.3008,-45.0623733,-17.792883,-42.9189167,-15.319303
2.865,8061.709,-2530.7347,7031.7602,-2698.9311,-35.46729967,-21.2098626,-35.16901033,-16.7243514
2.87,8041.7043,-2497.392,7063.1523,-2692.2876,-27.36829023,-20.3321145,-27.45713777,-16.8753475
2.875,8031.8697,-2470.2766,7100.7103,-2684.4649,-21.42165058,-18.3872075,-21.64644142,-14.3102225
2.88,8025.0408,-2447.1575,7140.0614,-2675.689,-20.44083148,-16.5371287,-21.18982252,-11.2176793
2.885,8029.7904,-2425.6557,7191.2308,-2665.2984,-20.97229102,-15.6341716,-22.60952098,-9.7120124
2.89,8035.0051,-2400.7634,7248.3681,-2646.2619,-20.2428216,-14.5850151,-23.6343724,-9.5872009
2.895,8032.3716,-2376.102,7294.6877,-2621.2251,-18.9863876,-11.57071415,-23.0258944,-11.26992985
2.9,8021.6989,-2356.589,7333.2213,-2595.894,-18.3665455,-9.346501,-21.7689945,-12.117789
2.905,8017.7788,-2342.2775,7374.439,-2569.8125,-17.9657734,-7.4522736,-20.4673486,-11.783158
2.91,8034.5113,-2324.1201,7421.2616,-2537.1583,-19.44116806,-6.9079153,-19.94381394,-9.9444207
2.915,8038.3184,-2303.7079,7446.618,-2496.2232,-19.97314589,-6.2665667,-21.69715411,-9.1920255
2.92,8040.2819,-2286.1458,7459.6195,-2457.8423,-20.64902371,-5.2842424,-22.33163629,-8.9431974
2.925,8044.7988,-2271.3289,7457.2776,-2419.7238,-21.96935548,-4.1600857,-23.14607452,-8.5128225
2.93,8049.8338,-2256.5486,7439.0059,-2388.1351,-23.42332392,-3.6487261,-23.96796008,-8.3328759
2.935,8060.6841,-2246.1556,7427.8637,-2364.4512,-25.32636462,-3.1362886,-25.34317338,-7.652412
2.94,8087.2979,-2235.6849,7431.2784,-2343.6141,-28.14458542,-3.0998126,-27.69326258,-7.0178852
2.945,8120.3482,-2219.4395,7450.788,-2315.9352,-31.02444362,-3.4663033,-30.58504238,-6.7143755
2.95,8153.3003,-2195.8551,7445.9581,-2269.3327,-35.43238892,-6.619581,-34.05806908,-9.7750134
2.955,8170.282,-2172.1393,7398.0114,-2241.9424,-36.01347876,-7.90203488,-34.78483324,-9.16835212
2.96,8182.7864,-2149.8288,7358.9451,-2222.4415,-36.37871662,-9.1879478,-35.79727938,-11.7539182
2.965,8191.5056,-2129.3383,7324.083,-2212.5015,-34.40181584,-10.581523,-33.38834616,-13.118051
2.97,8190.967,-2106.1444,7304.3875,-2205.3826,-32.53105447,-11.4634134,-31.45514553,-13.4754586
2.975,8187.5761,-2090.4993,7288.9392,-2199.5139,-31.47792758,-11.34182511,-30.08705242,-13.19094689
2.98,8188.541,-2078.2959,7278.4849,-2194.9028,-31.22645405,-12.35915928,-29.81193995,-12.73037472
2.985,8195.1614,-2067.7651,7270.6277,-2190.732,-31.56716859,-12.76450036,-30.28499941,-13.15916764
2.99,8205.3814,-2057.2746,7264.9081,-2186.512,-31.98960317,-13.15245716,-30.72323283,-13.38408284
2.995,8220.2533,-2047.5485,7260.1781,-2183.0002,-32.80015555,-14.59452067,-31.30668245,-14.04092733
3,8239.3041,-2037.615,7258.3585,-2179.3651,-32.14545121,-16.5659217,-30.75532279,-14.2553863
3.005,8264.7384,-2026.3831,7255.945,-2174.9453,-30.58437787,-18.8374014,-30.33499013,-14.2171626
3.01,8289.8475,-2012.6633,7251.9884,-2171.1552,-28.52265153,-18.41016363,-29.43791247,-16.94634837
3.015,8317.3638,-1996.954,7248.031,-2167.8481,-26.22634075,-19.07313007,-26.46143725,-18.84216993
3.02,8342.2883,-1976.9037,7242.4032,-2162.3908,-22.41141386,-19.69529556,-22.82144614,-19.17124444
3.025,8353.6674,-1956.7233,7227.4641,-2159.6156,-19.27929106,-19.9374198,-19.73579894,-19.7519562
3.03,8363.0751,-1941.856,7208.3455,-2158.4742,-15.18045891,-18.488883,-15.49965309,-20.837977
3.035,8382.457,-1927.8068,7182.733,-2163.0272,-13.50313312,-17.3561387,-12.85709088,-20.3087533
3.04,8410.5427,-1910.2635,7166.5916,-2175.1068,-11.57857169,-17.21374483,-11.00001431,-18.79749917
3.045,8429.489,-1889.3517,7163.8227,-2189.9878,-12.32818305,-16.6169598,-10.91039095,-19.3597182
3.05,8454.5192,-1868.5759,7177.8466,-2203.9305,-8.0997076,-16.77305044,-6.359753,-18.18932756
3.055,8468.7872,-1847.3771,7193.277,-2213.3203,-5.35001549,-16.70148997,-3.67006031,-15.87070203
3.06,8490.6116,-1826.7724,7215.027,-2225.1159,-2.62955477,-14.75438794,-1.48449383,-14.25183606
3.065,8507.0601,-1804.6656,7252.0766,-2236.2639,-0.87102107,-13.03217192,0.04750817,-12.98106808
3.07,8526.9863,-1784.1575,7310.2847,-2242.9918,0.35887159,-11.45341067,1.28749633,-10.09753133
3.075,8549.385,-1760.7952,7379.3244,-2237.8584,-0.14989614,-9.50882677,-0.270247,-7.54052223
3.08,8572.9663,-1733.9054,7441.2109,-2220.2356,-2.60096283,-7.14278631,-2.79121857,-6.58729289
3.085,8586.5802,-1707.3895,7475.6938,-2195.2004,-5.18003377,-5.67684328,-5.62127923,-6.23732432
3.09,8595.9749,-1677.1846,7484.3799,-2170.5579,-8.39031147,-4.010988,-8.61768393,-5.5582416
3.095,8599.8096,-1647.0625,7480.5584,-2153.6792,-10.61422948,-4.04372533,-10.34875052,-4.64592667
3.1,8585.3442,-1619.6054,7465.3501,-2139.6095,-13.66430014,-3.5975196,-13.91969386,-4.4568394
3.105,8564.1483,-1599.9368,7451.143,-2137.1894,-15.91401887,-3.6692208,-15.67981313,-6.121816
3.11,8558.0736,-1587.9522,7453.1188,-2138.4424,-16.63240515,-4.74067724,-15.63128085,-6.20049876
3.115,8568.4155,-1573.9961,7462.5273,-2139.2592,-16.24494743,-5.17967173,-15.48755457,-5.84352067
3.12,8585.2239,-1555.2671,7468.5347,-2138.9776,-16.68040865,-5.18293573,-15.42422335,-5.24147927
3.125,8590.7894,-1531.9895,7473.4357,-2146.0661,-17.6888321,-5.44573294,-16.9651099,-4.14362326
3.13,8586.6973,-1515.5322,7497.782,-2154.0186,-18.72662334,-5.46357024,-18.24299066,-5.12752416
3.135,8594.5145,-1501.4647,7528.4484,-2161.2905,-18.40347401,-6.16137067,-17.58789199,-5.94618353
3.14,8606.9359,-1486.5163,7568.6275,-2169.4858,-16.83752896,-6.11613623,-15.49730704,-5.06769037
3.145,8625.9518,-1470.7744,7624.3902,-2176.7677,-15.31195696,-5.9312945,-15.03837904,-3.3187947
3.15,8654.8402,-1457.5111,7694.7373,-2178.7364,-15.72870594,-4.6547539,-16.18368406,-1.5523591
3.155,8706.0147,-1435.9733,7769.6035,-2171.5091,-17.51958574,-3.789808,-18.14524026,-0.606024
3.16,8751.9839,-1407.0351,7841.0845,-2158.3241,-22.13436318,-3.09471517,-22.92117682,1.10281383
3.165,8790.706,-1372.9358,7908.9779,-2142.2684,-26.67721281,-2.5025845,-28.11095319,0.4235657
3.17,8820.0781,-1336.8117,7980.7235,-2120.3652,-32.09835394,-3.9590994,-33.60162406,-0.9001186
3.175,8847.5267,-1297.9479,8037.4845,-2089.8993,-34.8640531,-5.3963186,-37.1872269,-3.3712218
3.18,8860.0189,-1249.9526,8073.3368,-2057.8064,-36.0433034,-6.79819003,-38.9699506,-7.51199017
3.185,8844.031,-1215.1381,8093.964,-2037.3745,-33.2728684,-6.980896,-35.8739496,-9.941031
3.19,8842.1354,-1181.0513,8141.4751,-2019.6721,-32.96028686,-6.3517074,-34.45113314,-11.5379704
3.195,8830.401,-1146.916,8196.6963,-1996.3911,-34.07414132,-6.9886386,-33.65131068,-11.1352838
3.2,8808.0625,-1115.0473,8243.3167,-1966.5051,-35.01537301,-8.35073579,-34.57999899,-9.89739921
3.205,8782.8219,-1089.4644,8279.4904,-1939.3085,-38.22377054,-8.71228926,-38.40435946,-9.31126234
3.21,8755.9659,-1067.3956,8313.4321,-1915.0899,-42.43525462,-10.00808851,-42.87352338,-10.05568949
3.215,8724.4734,-1050.4686,8350.0366,-1891.105,-45.13838578,-11.78287494,-45.78337622,-12.48367906
3.22,8704.1533,-1045.7195,8391.0859,-1866.2544,-45.01990794,-13.99008153,-45.74570806,-15.14466247
3.225,8706.2907,-1039.4943,8429.3498,-1837.0167,-43.67908585,-15.79989209,-44.50343815,-17.12621791
3.23,8710.0772,-1033.8183,8457.9485,-1806.7337,-42.26565738,-16.8505511,-43.28915662,-19.1530369
3.235,8719.7933,-1031.1913,8483.2956,-1781.6329,-40.07683992,-17.0510189,-41.01718008,-21.0869411
3.24,8740.8175,-1028.8696,8517.5511,-1752.3495,-39.45540911,-17.0700293,-39.56401289,-22.6514147
3.245,8768.6436,-1027.5448,8532.88,-1723.4065,-38.86224321,-18.7872569,-38.14476279,-23.4732531
