omega_eV,Re,Im
2.93000000,-23.69564200,-5.99080100
2.93500000,-25.33476900,-5.39435030
2.94000000,-27.91892400,-5.05884890
2.94500000,-30.80474300,-5.09033940
2.95000000,-34.74522900,-8.19729720
2.95500000,-35.39915600,-8.53519350
2.96000000,-36.08799800,-10.47093300
2.96500000,-33.89508100,-11.84978700
2.97000000,-31.99310000,-12.46943600
2.97500000,-30.78249000,-12.26638600
2.98000000,-30.51919700,-12.54476700
2.98500000,-30.92608400,-12.96183400
2.99000000,-31.35641800,-13.26827000
2.99500000,-32.05341900,-14.31772400
3.00000000,-31.45038700,-15.41065400
3.00500000,-30.45968400,-16.52728200
3.01000000,-28.98028200,-17.67825600
3.01500000,-26.34388900,-18.95765000
3.02000000,-22.61643000,-19.43327000
3.02500000,-19.50754500,-19.84468800
3.03000000,-15.34005600,-19.66343000
3.03500000,-13.18011200,-18.83244600
3.04000000,-11.28929300,-18.00562200
3.04500000,-11.61928700,-17.98833900
3.05000000,-7.22973030,-17.48118900
3.05500000,-4.51003790,-16.28609600
3.06000000,-2.05702430,-14.50311200
3.06500000,-0.41175645,-13.00662000
3.07000000,0.82318396,-10.77547100
3.07500000,-0.21007157,-8.52467450
3.08000000,-2.69609070,-6.86503960
3.08500000,-5.40065650,-5.95708380
3.09000000,-8.50399770,-4.78461480
3.09500000,-10.48149000,-4.34482600
3.10000000,-13.79199700,-4.02717950
3.10500000,-15.79691600,-4.89551840
3.11000000,-16.13184300,-5.47058800
3.11500000,-15.86625100,-5.51159620
3.12000000,-16.05231600,-5.21220750
3.12500000,-17.32697100,-4.79467810
3.13000000,-18.48480700,-5.29554720
3.13500000,-17.99568300,-6.05377710
3.14000000,-16.16741800,-5.59191330
3.14500000,-15.17516800,-4.62504460
3.15000000,-15.95619500,-3.10355650
3.15500000,-17.83241300,-2.19791600
3.16000000,-22.52777000,-0.99595067
3.16500000,-27.39408300,-1.03950940
3.17000000,-32.84998900,-2.42960900
3.17500000,-36.02564000,-4.38377020
3.18000000,-37.50662700,-7.15509010
3.18500000,-34.57340900,-8.46096350
3.19000000,-33.70571000,-8.94483890
3.19500000,-33.86272600,-9.06196120
3.20000000,-34.79768600,-9.12406750
3.20500000,-38.31406500,-9.01177580
3.21000000,-42.65438900,-10.03188900
3.21500000,-45.46088100,-12.13327700
3.22000000,-45.38280800,-14.56737200
3.22500000,-44.09126200,-16.46305500
3.23000000,-42.77740700,-18.00179400
3.23500000,-40.54701000,-19.06898000
3.24000000,-39.50971100,-19.86072200
3.24500000,-38.50350300,-21.13025500
3.25000000,-36.10694200,-22.70814400
3.25500000,-28.96174100,-23.00990100
3.26000000,-27.04658600,-20.79719800
3.26500000,-27.29952100,-20.25187300
3.27000000,-26.58926700,-19.64706200
3.27500000,-26.82537300,-18.24964900
3.28000000,-31.46355500,-18.41584800
3.28500000,-35.39017900,-20.16014900
3.29000000,-33.70505800,-23.61532500
3.29500000,-27.50910500,-25.34233100
3.30000000,-20.80605300,-25.10777800
3.30500000,-16.94447800,-23.33189000
3.31000000,-16.38627100,-20.67276200
3.31500000,-19.83979000,-19.13480100
3.32000000,-21.84490900,-19.21437300
3.32500000,-23.49839900,-19.53857000
3.33000000,-23.46201700,-20.60334800
3.33500000,-21.15928200,-20.61866300
3.34000000,-20.22535500,-20.00790600
3.34500000,-21.34797500,-19.54246100
3.35000000,-21.76261000,-19.61118300
3.35500000,-21.23217500,-19.87340200
3.36000000,-21.50572300,-19.09463600
3.36500000,-23.22493900,-19.14593000
3.37000000,-24.52132700,-18.93716800
3.37500000,-26.22988600,-19.96963000
3.38000000,-27.58351500,-19.81791800
3.38500000,-30.04338500,-20.37057000
3.39000000,-34.02015900,-22.02417800
3.39500000,-34.28371100,-24.06248100
3.40000000,-33.73934900,-25.96411500
3.40500000,-31.63474400,-27.55537500
3.41000000,-28.43397600,-28.65922300
3.41500000,-25.17767600,-28.58948500
3.42000000,-23.05151200,-28.23476000
3.42500000,-22.77351600,-27.70096500
3.43000000,-22.47892500,-27.41062000
3.43500000,-22.81762300,-27.19017300
3.44000000,-23.01232900,-26.95121200
