omega_eV,Re,Im
2.81000000,7464.18430000,-2876.90300000
2.81500000,7536.50310000,-2846.98010000
2.82000000,7598.59840000,-2806.09980000
2.82500000,7636.50800000,-2773.76000000
2.83000000,7674.53290000,-2741.72410000
2.83500000,7706.62970000,-2707.74780000
2.84000000,7728.74930000,-2676.98890000
2.84500000,7751.94820000,-2646.93240000
2.85000000,7775.93800000,-2619.52990000
2.85500000,7804.83770000,-2587.56240000
2.86000000,7821.15740000,-2553.67420000
2.86500000,7828.36600000,-2520.95410000
2.87000000,7822.26330000,-2490.24000000
2.87500000,7814.65880000,-2467.03370000
2.88000000,7805.96980000,-2448.43690000
2.88500000,7803.23590000,-2434.02210000
2.89000000,7808.60400000,-2422.14000000
2.89500000,7823.84560000,-2410.30530000
2.90000000,7843.93150000,-2394.48360000
2.90500000,7857.65220000,-2374.57740000
2.91000000,7858.44400000,-2355.47790000
2.91500000,7854.61410000,-2341.32140000
2.92000000,7855.43420000,-2330.83370000
2.92500000,7860.93030000,-2320.92910000
2.93000000,7869.79830000,-2313.17940000
2.93500000,7888.49740000,-2305.85660000
2.94000000,7911.20640000,-2296.30050000
2.94500000,7933.07970000,-2287.05750000
2.95000000,7963.53090000,-2279.10330000
2.95500000,8005.78960000,-2268.65200000
2.96000000,8055.46210000,-2251.51410000
2.96500000,8096.75520000,-2225.11260000
2.97000000,8118.62500000,-2196.12600000
2.97500000,8123.44850000,-2171.13530000
2.98000000,8126.61410000,-2153.05730000
2.98500000,8139.79750000,-2137.58010000
2.99000000,8158.90230000,-2120.85750000
2.99500000,8177.85300000,-2102.28930000
3.00000000,8194.17300000,-2083.44700000
3.00500000,8205.83080000,-2064.59260000
3.01000000,8213.62850000,-2046.34870000
3.01500000,8218.99670000,-2032.02870000
3.02000000,8230.93470000,-2020.75810000
3.02500000,8250.18430000,-2009.63320000
3.03000000,8273.73490000,-1995.98090000
3.03500000,8297.95330000,-1982.23420000
3.04000000,8325.74200000,-1967.84310000
3.04500000,8356.33460000,-1951.74190000
3.05000000,8390.58670000,-1932.89960000
3.05500000,8425.05670000,-1911.70640000
3.06000000,8458.08620000,-1887.02060000
3.06500000,8487.43500000,-1859.71380000
3.07000000,8519.91760000,-1829.30710000
3.07500000,8538.64320000,-1791.46770000
3.08000000,8536.82980000,-1754.83310000
3.08500000,8527.15500000,-1723.27070000
3.09000000,8518.44830000,-1698.37540000
3.09500000,8525.56300000,-1675.82580000
3.10000000,8545.46580000,-1648.08390000
3.10500000,8547.65320000,-1609.81850000
3.11000000,8524.34280000,-1574.98960000
3.11500000,8485.99860000,-1544.12980000
3.12000000,8434.35710000,-1525.58630000
3.12500000,8391.19210000,-1517.40080000
3.13000000,8360.71860000,-1514.34900000
3.13500000,8338.32620000,-1514.97460000
3.14000000,8326.97200000,-1516.88310000
3.14500000,8322.25960000,-1519.28830000
3.15000000,8325.51110000,-1521.76860000
3.15500000,8332.81980000,-1523.46000000
3.16000000,8347.87990000,-1527.04440000
3.16500000,8375.56130000,-1528.77940000
3.17000000,8412.38300000,-1527.77490000
3.17500000,8456.56450000,-1522.16340000
3.18000000,8502.01750000,-1510.43940000
3.18500000,8543.61720000,-1497.97680000
3.19000000,8589.61140000,-1484.21870000
3.19500000,8644.06560000,-1468.08260000
3.20000000,8705.26430000,-1446.21020000
3.20500000,8761.02280000,-1414.86660000
3.21000000,8801.28110000,-1380.44130000
3.21500000,8828.23450000,-1347.64810000
3.22000000,8856.02330000,-1316.28760000
3.22500000,8867.43030000,-1279.48120000
3.23000000,8877.95900000,-1254.02830000
3.23500000,8895.87950000,-1230.32960000
3.24000000,8915.89150000,-1207.11520000
3.24500000,8939.59120000,-1184.51300000
3.25000000,8966.51020000,-1160.21830000
3.25500000,8989.23600000,-1133.84490000
3.26000000,9005.88730000,-1107.28770000
3.26500000,9020.89160000,-1089.33190000
3.27000000,9056.56530000,-1074.91750000
3.27500000,9109.61620000,-1059.06440000
3.28000000,9177.15210000,-1037.38090000
3.28500000,9257.87180000,-1010.52620000
3.29000000,9347.41430000,-974.58058000
3.29500000,9449.92760000,-927.70574000
3.30000000,9542.67370000,-860.40489000
3.30500000,9598.62020000,-781.49397000
3.31000000,9594.85360000,-709.99963000
3.31500000,9580.92910000,-651.32624000
3.32000000,9571.71870000,-607.77276000
3.32500000,9583.24590000,-569.63557000
3.33000000,9615.59670000,-524.12460000
3.33500000,9646.92050000,-477.32180000
3.34000000,9669.61300000,-421.15834000
3.34500000,9678.25980000,-367.39464000
3.35000000,9685.18300000,-314.19977000
3.35500000,9682.34180000,-265.19277000
3.36000000,9697.09000000,-219.75533000
3.36500000,9723.58640000,-169.36134000
3.37000000,9754.93920000,-110.75956000
3.37500000,9778.99450000,-45.81592700
3.38000000,9809.78250000,31.57388100
3.38500000,9791.40900000,116.87303000
3.39000000,9729.79590000,205.94813000
3.39500000,9659.21040000,274.57127000
3.40000000,9550.79850000,335.81530000
3.40500000,9471.91130000,379.86710000
3.41000000,9405.61640000,424.22874000
3.41500000,9338.03760000,473.85836000
3.42000000,9247.52840000,526.40040000
3.42500000,9123.62920000,566.82271000
3.43000000,8999.95140000,591.37818000
3.43500000,8882.18060000,607.13572000
3.44000000,8771.17260000,614.49468000
3.44500000,8667.42320000,614.93187000
3.45000000,8565.18320000,607.15629000
3.45500000,8475.00520000,592.97084000
3.46000000,8399.10950000,571.29664000
3.46500000,8343.30500000,544.80733000
3.47000000,8307.56270000,516.57059000
3.47500000,8291.42740000,488.31870000
3.48000000,8293.05200000,461.97422000
3.48500000,8312.79620000,438.67966000
3.49000000,8346.38130000,422.39876000
3.49500000,8385.12830000,411.71687000
3.50000000,8426.71180000,405.53263000
