case_label,eps_percent,pair_n_1based,pair_m_1based,node1_chirality,node2_chirality,point_index,delta_k_frac,band_n_index,band_m_index,band_56_raw_HR_E_eV,band_57_raw_HR_E_eV,band_n_energy_eV,band_m_energy_eV,energy_reference,pair_distance_frac,node1_delta_k_frac,node2_delta_k_frac,node1_E_minus_EF_eV,node2_E_minus_EF_eV,fermi_energy_eV,case_short,selected_pair_id,family_plus,family_minus,band_energy_reference
00_Optimized_Structure,0.0,56,57,1,-1,131,0.0244968398519366,56,57,8.559853905058214,8.568940329641302,8.559853905058214,8.568940329641302,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,132,0.0250943237507643,56,57,8.560877347064153,8.568704606782374,8.560877347064153,8.568704606782374,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,133,0.0256918076495921,56,57,8.561896750101583,8.568457537956652,8.561896750101583,8.568457537956652,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,134,0.0262892915484198,56,57,8.562911979443545,8.568201958679014,8.562911979443545,8.568201958679014,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,135,0.0268867754472475,56,57,8.563922909551673,8.567939951774783,8.563922909551673,8.567939951774783,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,136,0.0274842593460752,56,57,8.564929423201066,8.56767307374074,8.564929423201066,8.56767307374074,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,137,0.0280817432449029,56,57,8.565931410699585,8.56740250826719,8.565931410699585,8.56740250826719,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,138,0.0286792271437307,56,57,8.566928769186005,8.567129171073582,8.566928769186005,8.567129171073582,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,139,0.0292767110425584,56,57,8.566853782301363,8.567921401993999,8.566853782301363,8.567921401993999,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,140,0.0298741949413861,56,57,8.56657691716581,8.568909218067908,8.56657691716581,8.568909218067908,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
