path,family_id,case_label,strain_percent,chirality,delta_k1_relative_to_0,delta_k2_relative_to_0,delta_k3_relative_to_0,relative_displacement,energy_minus_EF_eV
b,F04,Strain_b_Tension_0.2pct,0.2,-1,-0.0004954199999998854,0.0003046300000000002,0.0028163399999999,0.0028757627525405017,0.00322776
b,F04,Strain_b_Tension_0.3pct,0.3,-1,-0.000768709999999978,0.000252129999999795,0.0021141000000001004,0.0022636040755839542,0.00284894
b,F04,Strain_b_Tension_0.4pct,0.4,-1,-0.0011674899999998822,-0.00013159000000010496,0.0020893300000000004,0.00239700827639367,0.0027928
b,F04,Strain_b_Tension_0.5pct,0.5,-1,-0.0014442799999998812,-0.00023955000000010218,0.0016109799999999997,0.0021768292264896906,0.00241612
b,F05,00_Optimized_Structure,0.0,1,0.0,0.0,0.0,0.0,0.00318708
b,F05,Strain_b_Tension_0.1pct,0.1,1,0.00023885000000009593,3.3209999999998796e-05,-0.0005082000000001001,0.0005625117479663403,0.00283777
b,F05,Strain_b_Tension_0.2pct,0.2,1,0.0005180800000000041,-4.0000000000102454e-05,0.0005129800000000006,0.0007301748878179891,0.00246264
b,F05,Strain_b_Tension_0.3pct,0.3,1,0.0007882600000002071,-0.00010305000000009751,-1.5060000000099646e-05,0.000795110013583246,0.00206083
b,F05,Strain_b_Tension_0.4pct,0.4,1,0.0011140700000001058,-0.0003404199999998969,-0.00027686000000010005,0.001197367613099762,0.00179297
b,F05,Strain_b_Tension_0.5pct,0.5,1,0.0014066299999999088,-0.0004335700000000012,-0.0003517000000000997,0.0015133683595872534,0.00150988
b,F06,00_Optimized_Structure,0.0,1,0.0,0.0,0.0,0.0,0.0601848
b,F06,Strain_b_Tension_0.1pct,0.1,1,0.0002663300000000923,0.00019131000000009724,-0.0005289600000000991,0.0006223583104612578,0.05972662
b,F06,Strain_b_Tension_0.2pct,0.2,1,0.0005664699999998885,0.00038241000000009684,-0.000535110000000099,0.0008680255647733272,0.05921868
b,F06,Strain_b_Tension_0.3pct,0.3,1,0.0008720399999999906,0.0003952200000000017,-0.0003878200000000994,0.001032984492816839,0.05854518
b,F06,Strain_b_Tension_0.4pct,0.4,1,0.0010739099999999002,0.0007452000000000986,5.013000000000066e-05,0.0013080973759624825,0.05782187
b,F06,Strain_b_Tension_0.5pct,0.5,1,0.00137052,0.0008447699999999947,0.000457159999999901,0.0016736058941399258,0.05719439
b,F07,00_Optimized_Structure,0.0,1,0.0,0.0,0.0,0.0,0.06023216
b,F07,Strain_b_Tension_0.1pct,0.1,1,-0.0002802999999999972,-0.00021445000000010206,0.00041890000000010044,0.0005477536878014847,0.05979394
b,F07,Strain_b_Tension_0.2pct,0.2,1,-0.00058061999999999,-0.0003867600000001109,0.00043110000000010085,0.0008200915144056552,0.05924537
b,F07,Strain_b_Tension_0.3pct,0.3,1,-0.0008733399999998892,-0.00041657999999999973,0.00039634000000000023,0.001045632367326015,0.05856923
b,F07,Strain_b_Tension_0.4pct,0.4,1,-0.0010842899999998906,-0.0008289300000000055,4.380000000000009e-06,0.001364854912948542,0.05791095
b,F07,Strain_b_Tension_0.5pct,0.5,1,-0.0013844499999998983,-0.0008139700000001082,-0.0005228300000000002,0.001688964230615881,0.05726038
b,F08,00_Optimized_Structure,0.0,1,0.0,0.0,0.0,0.0,0.00304302
b,F08,Strain_b_Tension_0.1pct,0.1,1,-0.00024518000000009477,2.6149999999905416e-05,0.00056784,0.000619063260499314,0.00273986
b,F08,Strain_b_Tension_0.2pct,0.2,1,-0.0005216200000000004,5.1310000000005795e-05,-0.00045732000000020014,0.0006956016984598183,0.00232145
b,F08,Strain_b_Tension_0.3pct,0.3,1,-0.0008042199999999944,0.00013843999999989948,1.7679999999999953e-05,0.0008162401756835809,0.00199152
b,F08,Strain_b_Tension_0.4pct,0.4,1,-0.0011485799999999824,0.00039435000000000164,0.0004057099999998995,0.0012803704709965313,0.00181727
b,F08,Strain_b_Tension_0.5pct,0.5,1,-0.0014119999999999966,0.00040903999999990226,0.00042431999999999973,0.001530067052125465,0.00137475
