case_label,path,direction,strain_percent,node_id,k1,k2,k3,k1_centered,k2_centered,k3_centered,energy_minus_EF_eV,chirality,gap_eV,num_occupied
Strain_b_Tension_0.1pct,b,b,0.1,8,0.87844405,0.10254405,0.00846775,-0.12155594999999986,0.10254405,0.008467749999999996,0.05972662,1,2e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,1,0.12152418,0.89744811,0.99143573,0.12152417999999998,-0.10255188999999998,-0.00856426999999993,0.05979394,1,2e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,4,0.12855062,0.0453427,0.99327661,0.12855061999999995,0.04534269999999996,-0.006723389999999885,0.00273986,1,1e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,6,0.87175624,0.04586174,0.00424542,-0.12824376000000015,0.045861739999999984,0.004245419999999944,0.00316809,-1,3e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,7,0.87830978,0.89723848,0.00925863,-0.12169022000000007,-0.10276152000000005,0.009258630000000045,0.05785921,-1,1e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,2,0.12169666,0.10271603,0.99052305,0.12169666000000001,0.10271602999999996,-0.00947695000000004,0.0578597,-1,3e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,3,0.12823413,0.95403341,0.99578883,0.12823413000000006,-0.04596658999999992,-0.004211170000000042,0.00322776,-1,3e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,5,0.87174651,0.95456144,0.007642,-0.12825349000000008,-0.04543856000000002,0.007642000000000038,0.00246264,1,2e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,8,0.87874419,0.10273515,0.0084616,-0.12125581000000007,0.10273515,0.008461599999999958,0.05921868,1,3e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,1,0.12122386,0.8972758,0.99144793,0.12122385999999996,-0.10272419999999993,-0.008552069999999912,0.05924537,1,2e-08,56
Strain_b_Tension_0.2pct,b,b,0.2,4,0.12827418,0.04536786,0.99225145,0.12827418000000002,0.04536786000000004,-0.007748550000000076,0.00232145,1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,6,0.8720246,0.04591489,0.0050221,-0.12797539999999996,0.04591489000000004,0.005022100000000029,0.00276255,-1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,7,0.87860448,0.89721088,0.00974557,-0.12139552000000009,-0.10278911999999996,0.009745569999999981,0.05725154,-1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,2,0.12139737,0.10274264,0.99009842,0.12139736999999995,0.10274264,-0.009901579999999965,0.05727023,-1,3e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,3,0.12796084,0.95398091,0.99508659,0.12796083999999996,-0.04601909000000015,-0.004913409999999896,0.00284894,-1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,5,0.87201669,0.95449839,0.00711396,-0.12798330999999985,-0.04550161000000008,0.007113959999999975,0.00206083,1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,8,0.87904976,0.10274796,0.00860889,-0.12095023999999999,0.10274795999999997,0.00860888999999998,0.05854518,1,2e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,1,0.12093114,0.89724598,0.99141317,0.12093114000000005,-0.10275401999999989,-0.008586830000000045,0.05856923,1,3e-08,56
Strain_b_Tension_0.3pct,b,b,0.3,4,0.12799158,0.04545499,0.99272645,0.12799158,0.04545498999999997,-0.007273549999999851,0.00199152,1,2e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,6,0.87241041,0.04634168,0.00495865,-0.12758958999999992,0.04634168000000005,0.004958649999999953,0.00263905,-1,3e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,7,0.87896501,0.8969257900000001,0.00791998,-0.12103499000000006,-0.10307420999999994,0.007919980000000049,0.05696864,-1,2e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,2,0.12105156,0.10306353,0.99169548,0.12105155999999995,0.10306353000000001,-0.008304520000000037,0.05692542,-1,2e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,3,0.12756206,0.95359719,0.99506182,0.12756206000000003,-0.04640281000000002,-0.004938179999999903,0.0027928,-1,2e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,5,0.8723425,0.95426102,0.00685216,-0.12765749999999998,-0.045738979999999874,0.006852159999999996,0.00179297,1,2e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,8,0.87925163,0.10309794,0.00904684,-0.12074837000000005,0.10309794000000005,0.00904684,0.05782187,1,3e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,1,0.12072019,0.89683363,0.99102121,0.12072019,-0.10316636999999984,-0.008978790000000014,0.05791095,1,1e-08,56
Strain_b_Tension_0.4pct,b,b,0.4,4,0.12764722,0.0457109,0.99311448,0.12764722000000006,0.0457109,-0.006885519999999978,0.00181727,1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,6,0.87270271,0.04640106,0.00547971,-0.12729729,0.046401059999999994,0.0054797100000000265,0.00234332,-1,3e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,7,0.87925399,0.89687326,0.00795385,-0.12074600999999996,-0.10312674,0.00795385000000004,0.05630888,-1,1e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,2,0.12074257,0.10311957,0.99179745,0.12074257,0.10311957000000005,-0.00820255000000003,0.0563663,-1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,3,0.12728527,0.95348923,0.99458347,0.12728527,-0.046510770000000035,-0.005416529999999975,0.00241612,-1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,5,0.87263506,0.95416787,0.00677732,-0.1273649400000001,-0.04583212999999997,0.006777319999999976,0.00150988,1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,8,0.87954824,0.10319751,0.00945387,-0.12045175999999991,0.10319750999999999,0.009453869999999975,0.05719439,1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,1,0.12042003,0.8968485900000001,0.990494,0.12042003000000001,-0.10315140999999994,-0.009506000000000014,0.05726038,1,2e-08,56
Strain_b_Tension_0.5pct,b,b,0.5,4,0.1273838,0.04572559,0.99313309,0.12738380000000005,0.04572558999999998,-0.006866909999999837,0.00137475,1,2e-08,56
