path,strain_percent,case_label,case_short,family_id,pair_id,chirality,k1_centered,k2_centered,k3_centered,tilt_ratio,tilt_ratio_window_min,tilt_ratio_window_max,tilt_ratio_window_std,typeII_flag,typeII_window_all,mean_cone_slope_eV_per_reduced_dk,condition_G,stability_indicator,recommended_usage
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F05,a_pair_03,1,-0.1301334299999998,-0.0499778499999998,0.00543225,2.296460371065796,2.2964571588768483,2.296460170180545,1.3009871764990805e-06,True,True,1.156507796933553,303.93945319513966,0.057359645829851244,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F06,a_pair_02,1,-0.1232522999999998,0.1063627499999999,0.00844756,1.1711295896845275,1.1711125857878832,1.1711285268774039,6.887314405203982e-06,True,True,1.0413995064545254,247.36421174800154,0.06358161669941144,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F07,a_pair_01,1,0.1232370099999999,-0.1063513199999999,-0.0083953299999999,1.1622794882004224,1.1622624392088323,1.162278422571883,6.905578797100521e-06,True,True,1.0445117786758207,248.4952809956375,0.06343675030300105,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F08,a_pair_04,1,0.13015649,0.0499042299999999,-0.0054440200000001,2.2923533707667882,2.2923505565493447,2.292353194756795,1.1397914235372664e-06,True,True,1.1571389889337238,304.0995546598134,0.05734454457074744,supplementary
b,0.0,00_Optimized_Structure,0%,F01,b_pair_02,-1,-0.1287312099999999,0.04622064,0.0070492699999999,2.2408500181495685,2.2408237599824496,2.2408483768315026,1.0635627225344236e-05,True,True,1.1795003359978276,349.4517907100018,0.05349415907875071,supplementary
b,0.0,00_Optimized_Structure,0%,F02,b_pair_03,-1,-0.1222754699999999,-0.1025682599999999,0.0074444299999999,1.2713083047643758,1.2712884541383014,1.2713070640511253,8.040383853336192e-06,True,True,1.0491349229151714,419.3799517586374,0.048831061739048345,supplementary
b,0.0,00_Optimized_Structure,0%,F03,b_pair_04,-1,0.12228328,0.10249297,-0.0076273900000001,1.2707705778109304,1.2707511407834369,1.2707693629501198,7.872858447163013e-06,True,True,1.0521344756955522,419.58667343397286,0.048819031230017684,supplementary
b,0.0,00_Optimized_Structure,0%,F04,b_pair_01,-1,0.1287295499999999,-0.0462712199999999,-0.0070275099999999,2.2457219344641475,2.2456954514979217,2.245720279097534,1.072668157226345e-05,True,True,1.179350743551826,348.9875992917175,0.05352972377782888,supplementary
b,0.0,00_Optimized_Structure,0%,F05,b_pair_03,1,-0.12877157,-0.0453985599999999,0.00712902,2.1479468675173563,2.1479378870928163,2.1479463061249517,3.63739416284767e-06,True,True,1.1647174320467804,356.97316691784016,0.052927601530462845,supplementary
b,0.0,00_Optimized_Structure,0%,F06,b_pair_02,1,-0.1218222799999999,0.1023527399999999,0.00899671,1.2362143628619424,1.2361970935096467,1.2362132834735933,6.994843075387105e-06,True,True,1.090425613893416,325.0516757786965,0.055465610215332875,supplementary
b,0.0,00_Optimized_Structure,0%,F07,b_pair_01,1,0.1218044799999999,-0.1023374399999998,-0.00898317,1.2236972102293608,1.2236796688440619,1.2236961138370108,7.105028009407384e-06,True,True,1.0937744745448759,325.4671587738526,0.05543019592451087,supplementary
b,0.0,00_Optimized_Structure,0%,F08,b_pair_04,1,0.1287958,0.04531655,-0.0072912299999998,2.1454085047932745,2.1453999031847997,2.1454079670752737,3.4839560734875604e-06,True,True,1.1654598426221539,357.5996010548699,0.05288122257850265,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F01,b_pair_02,-1,-0.1285296900000001,0.04581458,0.0047589099999999,2.223173851953731,2.223147227954838,2.2231721877744195,1.0783808638868333e-05,True,True,1.18013077896982,348.682310901887,0.05355315259423133,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F02,b_pair_03,-1,-0.12196767,-0.1026211299999999,0.0087971599999999,1.3276995113592833,1.327679031033261,1.3276982312903702,8.295440492631582e-06,True,True,1.0414305880657835,395.7572760276182,0.05026729852632247,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F03,b_pair_04,-1,0.1219723499999999,0.10252389,-0.0091486499999999,1.334344419329368,1.3343245975946851,1.3343431804223786,8.028680772540069e-06,True,True,1.0429384773269057,396.3550106424689,0.05022938069988962,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F04,b_pair_01,-1,0.1285256599999999,-0.04586244,-0.00474916,2.22569183492539,2.225664958196143,2.225690154947857,1.0886175322700951e-05,True,True,1.1798805456938084,348.7478332247869,0.05354812160700934,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F05,b_pair_03,1,-0.1285327199999999,-0.0453653499999999,0.0066208199999999,2.1316997794747725,2.1316896713019915,2.131699147595187,4.094182315249012e-06,True,True,1.1649502910908378,359.9328692428528,0.05270954238678041,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F06,b_pair_02,1,-0.1215559499999998,0.10254405,0.0084677499999999,1.2144551831059016,1.2144351843447276,1.2144539331253543,8.100377574188846e-06,True,True,1.0850990506949632,312.24919653288134,0.05659125630646513,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F07,b_pair_01,1,0.1215241799999999,-0.1025518899999999,-0.0085642699999999,1.208617074528317,1.20859717141541,1.2086158305250383,8.06163551565599e-06,True,True,1.0882346180181497,313.66137585596886,0.0564637188366653,supplementary
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F08,b_pair_04,1,0.1285506199999999,0.0453426999999999,-0.0067233899999998,2.131352527824383,2.13134261993052,2.1313519084612387,4.013060055532533e-06,True,True,1.1651272677497488,359.72467561289915,0.052724793222173154,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F01,b_pair_02,-1,-0.1282437600000001,0.0458617399999999,0.0042454199999999,2.2033486534530584,2.203321093990456,2.2033469308037854,1.1162712436327393e-05,True,True,1.1778514751449611,347.8961002637548,0.05361363084813628,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F02,b_pair_03,-1,-0.12169022,-0.10276152,0.00925863,1.358700990417595,1.3586797742292223,1.358699664355728,8.593497894209238e-06,True,True,1.0327722932698684,379.1429175102602,0.05135686749873122,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F03,b_pair_04,-1,0.12169666,0.1027160299999999,-0.00947695,1.3587530680417534,1.3587323360584098,1.3587517722421703,8.397373171445108e-06,True,True,1.0350894422058643,379.0747049779199,0.05136148799220979,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F04,b_pair_01,-1,0.12823413,-0.0459665899999999,-0.00421117,2.208985090295121,2.2089572154306256,2.208983347936118,1.1290465313716427e-05,True,True,1.1771775306496202,347.15152399571963,0.05367109574800498,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F05,b_pair_03,1,-0.12825349,-0.04543856,0.007642,2.1134174684434504,2.1134067704061934,2.1134167996970445,4.33310510307075e-06,True,True,1.1626932512760584,358.8141441323134,0.05279164839947556,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F06,b_pair_02,1,-0.12125581,0.10273515,0.0084615999999999,1.224342672035568,1.2243217954648071,1.2243413671935008,8.455932042659993e-06,True,True,1.0773920516466984,302.62476887711273,0.05748410375898253,supplementary
