omega_eV,Re,Im
2.32000000,4935.93440000,-3541.38410000
2.32500000,4946.60250000,-3545.96550000
2.33000000,4959.69400000,-3549.95960000
2.33500000,4969.52780000,-3554.08680000
2.34000000,4978.71040000,-3560.60160000
2.34500000,4993.42480000,-3568.70680000
2.35000000,5011.97580000,-3576.07460000
2.35500000,5033.73390000,-3582.54430000
2.36000000,5055.48710000,-3588.99510000
2.36500000,5078.11360000,-3594.57290000
2.37000000,5100.17170000,-3600.51170000
2.37500000,5126.21890000,-3607.77500000
2.38000000,5159.52250000,-3614.69940000
2.38500000,5198.95830000,-3619.27840000
2.39000000,5243.15000000,-3618.58520000
2.39500000,5280.68570000,-3614.09580000
2.40000000,5314.09130000,-3606.48620000
2.40500000,5329.82580000,-3599.01100000
2.41000000,5345.05990000,-3597.92150000
2.41500000,5365.79230000,-3598.35330000
2.42000000,5388.62820000,-3598.33360000
2.42500000,5413.56400000,-3599.06950000
2.43000000,5437.68540000,-3599.01910000
2.43500000,5462.29840000,-3600.66990000
2.44000000,5487.48740000,-3603.01980000
2.44500000,5513.86980000,-3606.95840000
2.45000000,5545.86290000,-3613.41020000
2.45500000,5585.06180000,-3621.16290000
2.46000000,5637.40900000,-3629.86550000
2.46500000,5706.62920000,-3636.45500000
2.47000000,5787.21140000,-3635.10120000
2.47500000,5865.67100000,-3625.92550000
2.48000000,5933.30110000,-3611.81320000
2.48500000,5990.24930000,-3594.86780000
2.49000000,6039.23400000,-3579.59740000
2.49500000,6091.45330000,-3564.94030000
2.50000000,6148.54740000,-3549.40140000
2.50500000,6210.37790000,-3529.99190000
2.51000000,6272.39950000,-3505.47600000
2.51500000,6326.73730000,-3471.56480000
2.52000000,6352.22160000,-3439.19680000
2.52500000,6373.72320000,-3410.70990000
2.53000000,6387.03600000,-3384.87340000
2.53500000,6400.84120000,-3364.30860000
2.54000000,6425.69260000,-3345.39490000
2.54500000,6450.02550000,-3323.04600000
2.55000000,6472.20300000,-3300.17610000
2.55500000,6488.43440000,-3275.95150000
2.56000000,6496.79080000,-3256.25630000
2.56500000,6514.79800000,-3238.53690000
2.57000000,6536.70660000,-3217.12820000
2.57500000,6546.41960000,-3195.04230000
2.58000000,6558.16540000,-3174.97650000
2.58500000,6564.44610000,-3154.71600000
2.59000000,6567.05180000,-3136.84230000
2.59500000,6568.64230000,-3121.50060000
2.60000000,6573.11610000,-3107.99970000
2.60500000,6582.08440000,-3094.80770000
2.61000000,6594.92660000,-3077.93860000
2.61500000,6592.60940000,-3059.59270000
2.62000000,6587.58400000,-3047.22500000
2.62500000,6584.81360000,-3037.25680000
2.63000000,6585.12210000,-3028.86530000
2.63500000,6588.61880000,-3019.93550000
2.64000000,6591.39070000,-3011.33080000
2.64500000,6592.25540000,-3004.47930000
